,City ID,City Name,Cloudiness,Wind Speed,Country,Temperature,Feels Like,Min Temp,Max Temp,Barometric Pressure,Humidity,Sea Level,Ground Level,Latitude,Longitude
117,3576994,Cockburn Town,20.0,60.0,TC,7.52,75.02,75.2,75.2,1014.0,69.0,,,75.77083713069564,57.39739903767733
118,5563839,Fortuna,83.0,141.0,US,51.17,47.84,50.0,52.0,1024.0,93.0,,,9.619874768960571,-138.82229395163742
119,2136825,Isangel,75.0,120.0,VU,0.86,92.1,86.0,86.0,1006.0,66.0,,,64.34753373230956,-24.022329598460317
120,3652764,Puerto Ayora,94.0,8.99,EC,0.72,77.7,72.0,72.0,1011.0,92.0,,,21.31432381361884,-135.90602575325855
121,6063191,Mackenzie,90.0,150.0,CA,0.32,24.4,32.0,32.0,999.0,97.0,,,-62.02772116202941,-49.41663929298713
122,245669,Adré,91.0,46.0,TD,63.03,52.59,63.03,63.03,1013.0,28.0,1013.0,924.0,,
123,1855540,Naze,75.0,350.0,JP,0.59,54.03,59.0,59.0,1024.0,67.0,,,65.89200782333529,-57.154677596360955
124,2414079,Yomou,100.0,203.0,GN,69.73,76.62,69.73,69.73,1011.0,98.0,1011.0,964.0,76.11305471337343,18.945769944758354
125,2281120,Tabou,97.0,195.0,CI,78.15,83.82,78.15,78.15,1010.0,85.0,1010.0,1009.0,22.001970362463254,153.92666711494155
126,3462956,Frederico Westphalen,74.0,114.0,BR,72.75,73.78,72.75,72.75,1011.0,58.0,1011.0,953.0,-20.58834134521402,-15.192546831051914
127,5905393,Bonavista,99.0,260.0,CA,2.48,8.17,24.8,24.8,980.0,85.0,980.0,979.0,-31.134082650135007,-83.85699545490095
128,2063039,Port Keats,80.0,275.0,AU,92.77,99.23,92.77,92.77,1004.0,56.0,1004.0,1001.0,-39.70257918925009,-12.789961681209206
129,4985180,Bay City,75.0,60.0,US,24.76,14.23,24.01,26.01,1027.0,68.0,,,66.91783248755178,-13.46704587837803
130,2126199,Cherskiy,100.0,164.0,RU,1.79,-30.19,-17.9,-17.9,1017.0,88.0,1017.0,1017.0,-32.85221709877159,151.97221287889357
131,3443061,Chui,41.0,134.0,UY,63.64,59.81,63.64,63.64,1015.0,82.0,1015.0,1014.0,,
132,60019,Eyl,7.0,18.0,SO,72.27,69.35,72.27,72.27,1014.0,71.0,1014.0,1010.0,-48.33767773113405,99.30127211576536
133,1633419,Padang,95.0,204.0,ID,83.01,89.98,83.01,83.01,1013.0,66.0,1013.0,1013.0,-69.00897115080039,-55.662387728761004
134,2079582,Alyangula,40.0,10.0,AU,8.24,88.61,82.4,82.4,1005.0,83.0,,,72.71097023130798,-21.296052917565106
135,3372760,Praia da Vitória,20.0,263.0,PT,57.54,54.81,57.2,57.99,1016.0,93.0,,,,
136,1512019,Aksarka,91.0,223.0,RU,6.27,-20.16,-6.27,-6.27,1017.0,91.0,1017.0,1013.0,-12.165306603418273,-12.102358634211924
137,2016216,Sosnovo-Ozerskoye,100.0,244.0,RU,0.42,-16.73,-4.2,-4.2,1028.0,90.0,1028.0,905.0,40.21707868222049,-176.9199779312187
138,1067565,Beloha,100.0,30.0,MG,73.94,75.2,73.94,73.94,1012.0,68.0,1012.0,994.0,80.31723677492946,20.38070246573679
139,1006984,East London,13.0,258.0,ZA,66.34,62.29,66.34,66.34,1018.0,75.0,1018.0,1014.0,41.6974057680668,-40.114372259041545
140,3092080,Miastko,100.0,8.99,PL,0.37,30.11,37.0,37.0,1013.0,96.0,,,80.4442222348039,-121.55125028601262
141,1490256,Talnakh,90.0,190.0,RU,0.58,-26.3,-5.8,-5.8,1008.0,83.0,,,-48.856286694234974,-16.40971407663696
142,3674292,Mosquera,40.0,0.0,CO,5.72,56.98,57.2,57.2,1026.0,87.0,,,5.733167636928769,-152.73262973442442
143,5866583,Saint Paul Harbor,90.0,284.0,US,3.38,25.5,33.8,33.8,999.0,80.0,,,,
144,2527087,Tiznit Province,0.0,191.0,MA,56.16,55.27,56.16,56.16,1017.0,76.0,1017.0,952.0,,
145,1831112,Kampot,20.0,20.0,KH,79.57,86.04,78.8,80.6,1012.0,83.0,,,-86.47179181835561,162.44946865975362
146,2212775,Sabha,96.0,93.0,LY,50.76,42.62,50.76,50.76,1021.0,46.0,1021.0,971.0,6.295847678877706,158.87964265355782
147,3374083,Bathsheba,40.0,60.0,BB,0.77,82.09,77.0,77.0,1012.0,83.0,,,-11.655099767122493,122.23696882170805
148,3158300,Elverum,87.0,274.0,NO,30.99,26.04,30.99,30.99,1009.0,97.0,,,88.11794664551186,-17.84709032364634
149,1687894,Santa Rosa,75.0,80.0,PH,85.98,94.71,82.4,89.01,1014.0,74.0,,,-55.105924238951005,-147.2275536815477
150,3408368,Acaraú,62.0,85.0,BR,78.89,81.09,78.89,78.89,1011.0,81.0,1011.0,1010.0,,
151,2208248,Kaitangata,94.0,17.0,NZ,0.66,60.87,66.0,66.0,1014.0,64.0,,,89.00041181267727,-23.29782905657106
152,1507390,Dikson,96.0,117.0,RU,15.56,-24.03,-15.56,-15.56,1014.0,89.0,1014.0,1007.0,-1.5486594869290116,74.60103069457728
153,5882953,Aklavik,100.0,330.0,CA,1.66,-27.4,-16.6,-16.6,1023.0,75.0,1023.0,1022.0,49.44601068389014,-21.67043375971673
154,4033557,Tautira,20.0,60.0,PF,0.86,81.64,86.0,86.0,1012.0,58.0,,,3.7539450024660113,-179.93938808453015
155,2179532,Wellsford,0.0,15.01,NZ,68.34,67.44,68.0,69.01,1021.0,69.0,,,-30.597477782804127,131.27190585815862
156,1688696,San Policarpo,88.0,68.0,PH,81.61,88.23,81.61,81.61,1012.0,83.0,1012.0,1011.0,-69.93234225002111,12.582367997094764
157,1726977,Bantogon,93.0,286.0,PH,81.77,87.31,81.77,81.77,1010.0,69.0,1010.0,993.0,68.21010501067593,74.26185662058074
158,1651810,Airai,34.0,274.0,TL,70.99,76.01,70.99,70.99,1007.0,92.0,1007.0,855.0,-87.00460520752335,-126.20146272730713
